region,wf2010,wf2015,wf2020,LDPvoteperc,LDPvoteperc2017,gensocspend,Public2010,Public2015,publicworks2020,japanpop,totalpercap,welpercap,elderlyspend,oldsocspend
Hokkaido,12.6,14.68,13.74,33.6,48.21,91.5,135.1,124.4,143.4,"3,973,007","1,394.10",296.2,"1,065,080",232.3
Aomori,13.05,14.83,15.34,43.24,50.77,77.1,103.4,107.8,130.5,"587,023","1,324.90",284.7,"811,423",233.3
Iwate,12.06,9,10.17,35.5,40.99,69.6,105.3,269.3,230.3,"400,246","1,638.00",255.6,"767,405",219.1
Miyagi,13.29,11.1,13.6,37.4,48.43,59.6,75.8,254.1,163.4,"1,508,978","1,238.90",224.7,"842,258",200.7
Akita,11.26,12.67,13.31,45.36,49.66,81.5,121.9,116.3,162.8,"340,699","1,448.60",274.8,"808,732",240.1
Yamagata,12.15,13.01,12.14,41.73,47.25,59.8,108.2,101.1,140.5,"492,405","1,357.90",239.1,"835,670",207.3
Fukushima,12.9,36.59,13.88,37.88,43.87,64.6,85.7,177.9,208.8,"773,118","1,560.10",287.5,"817,047",220.6
Ibaraki,13.19,15.24,16.42,38.07,49.95,65.3,105,91.3,105.3,"1,169,451","1,031.00",223.2,"839,082",201
Tochigi,12.55,14.36,14.55,38.12,46.85,64.2,92,75.9,102.1,"929,109","1,074.80",222.3,"833,341",186.4
Gunma,14.6,15.62,15.34,38.38,48.49,67.6,89.2,87,99.5,"809,514","1,094.70",231.8,"858,693",218.7
Saitama,15.5,18.5,21.5,32.51,44.01,58.1,62.1,52.4,56.9,"5,998,734",764.5,207.7,"840,668",184.2
Chiba,14.3,15.91,17.24,35.46,46.43,56.1,51.5,50.5,53.7,"4,823,612",849.5,210.9,"825,420",183
Tokyo,12.17,13.98,15.59,31.02,41.96,83.4,100.2,94.1,94.7,"13,844,009","1,131.70",302.3,"937,805",252.8
Kanagawa,15.93,19.45,22.97,34.16,45.13,60.3,69.2,62.5,64.2,"8,743,513",813.6,225.7,"874,502",198.3
Niigata,10.85,12.12,11.87,43.94,46.29,57,149.9,150.4,164.6,"1,119,029","1,201.90",222.2,"754,149",213.5
Toyama,11.12,12.9,12.63,45.67,51.9,54.7,158.4,110.6,142.6,"414,349","1,168.80",219,"929,039",228.9
Ishikawa,13.34,13.58,13.71,44.1,52.11,67.4,115,110.3,133.1,"610,464","1,145.60",230.9,"971,667",209.5
