County,CountyDrinking,Population,BirthDefectCases,BDPrevalence,GDPcap,FIPS,FIPS State,OverdoseRate,Area,PopDensity,Age,BelowPoverty,SmokingRate,Chlamydia,TeenBirth,AirPollution,HousingProblem,Obesity,Diabetes,HigherBD,AfricanA,White
Anderson,0.19,"57,922",278,0.0482,32785,48001,48,19.45625,"1,063",55,39.1,26.5,18,389,49,9.9,15,34,11,0.0538,20.7,59.1
Andrews,0.21,"18,610",146,0.0479,34154,48003,48,13.24391,"1,501",13,32.4,23,13,265.1,68,7.3,14,32,9,0.0556,1.4,40.2
Angelina,0.18,"86,395",528,0.0457,34373,48005,48,14.90934,798,110,37.6,29.9,18,551.8,46,9.8,16,40,14,0.0496,14.8,60.7
Aransas,0.16,"23,830",151,0.0655,35832,48007,48,26.10291,252,104,50.6,27.1,16,532.5,46,9.3,16,32,14,0.0759,1.4,67.2
Archer,0.2,"8,560",34,0.044,35913,48009,48,21.17224,903,10,42.3,18.6,14,126.2,24,8.5,10,28,11,0.0615,0.8,88
Armstrong,0.2,"1,848",15,0.0718,37156,48011,48,9.88176,909,2,44.4,12.4,13,3543.9,35,6.8,9,29,11,0.1184,0.9,89.6
Atascosa,0.18,"48,981",428,0.0636,38523,48013,48,10.27619,"1,220",44,36.3,24.8,14,654.5,48,9.6,16,34,12,0.0697,0.7,33.4
Austin,0.18,"30,167",200,0.058,39462,48015,48,8.63931,646,51,41.6,25.1,14,321.3,32,10.2,13,30,10,0.0661,8.8,62
Bailey,0.16,"6,904",63,0.0513,40541,48017,48,11.13776,827,8,33.9,26.9,18,305.1,74,6.8,20,29,10,0.0657,1.1,32.9
Bandera,0.17,"20,851",84,0.0492,41009,48019,48,13.77606,791,30,52.5,22.9,14,112.8,19,8.9,11,29,11,0.0609,0.9,77.8
Bastrop,0.2,"97,216",654,0.0611,41175,48021,48,13.50159,888,135,36.8,22,17,801,36,10.1,15,35,10,0.0658,6.8,52.6
Baylor,0.17,"3,465",14,0.0349,41270,48023,48,25.13294,867,4,42.5,30.3,15,304,41,7.8,8,29,13,0.0586,2.5,82
Bee,0.2,"31,047",208,0.0587,41438,48025,48,9.43473,880,35,35.8,27,17,651,60,9.4,16,29,9,0.0667,8.3,31.2
Bell,0.2,"370,647","4,157",0.0674,41722,48027,48,10.46051,"1,054",384,32.6,25.2,17,1148.6,44,10.1,15,31,10,0.0695,21.9,45.6
Bexar,0.19,"2,009,324","18,930",0.0708,42757,48029,48,15.00784,"1,240","1,728",35,24.4,14,723.2,36,10.4,18,28,9,0.0718,7.3,27.7
Blanco,0.18,"11,374",56,0.0632,44184,48031,48,12.78489,709,20,51.4,12.8,14,663.4,21,8.9,16,29,11,0.0821,1.1,76.7
Borden,0.21,631,,,44202,48033,48,10.61023,897,1,50,13.8,11,,,7.1,5,29,12,,1.5,77.3
Bosque,0.17,"18,235",105,0.0568,44285,48035,48,15.82777,983,20,46.4,20,15,150.9,30,9.5,13,29,11,0.0677,1.7,77.6
Bowie,0.17,"92,893",582,0.0501,44294,48037,48,10.53403,885,104,38.4,26.7,18,628.6,53,10,16,38,13,0.0542,24.6,63.7
